Borta bra men hemma bäst,Sweden,sturko.html,Prosten
Finland,Finland,finland.html,Kapten Ringefors
Europa 18,Chernarus,europa18.html,Volkpartiet
Operation Castorea,Takistan,OperationCastorea.html,Ftmch
Tillbaka till Tanoa,Tanoa,tillbakatilltanoa.html,Ftmch
Flykten,Okänd plats,Flykten.html,Ftmch
80-Talet,All over the map,80talet.html,Ftmch
Esseker,Esseker,europakampanj.html,Volkpartiet
Sandorm,Takistan,sandorm.html,Prosten
Loco Haram,Tanoa,Djungelpatrullen.html,Kapten Ringefors
Oktoberfest,Polen,WW2Special.html,Ftmch
Vietnam,Vietnam,vietnam.html,Ftmch
Altis,Altis,solnedgang.html,Ftmch
Podagorsk,Podagorsk,podagorsk.html,Ventris
Takistan,Takistan,takistanmods.html,Ftmch
